question,answer,ada_output,ada_similarity,ada_distance,bab_output,bab_similarity,bab_distance,cur_output,cur_similarity,cur_distance,dav_output,dav_similarity,dav_distance
What is the HEAT mode?,This mode heats the room automatically to the setpoint temperature,The HEAT mode is a mode that allows the unit to run at a higher temperature than the room temperature. The unit will cycle through the following modes: High Heat (High Heat) High Heat (High Heat) High Heat (High Heat) High,0.69581425,0.77998185,"The HEAT mode is a cooling mode. The compressor is turned off and the indoor fan is turned on when the indoor temperature is too low. If the indoor temperature is not too low, this function is off.",0.6886272,0.7891425,The HEAT mode is used to heat the room.,0.8278173,0.5868266,"In heating mode, the unit can alternate between reverse cycle heat mode and electric heat mode depending on the difference between the set temperature and the room temperature.",0.68366283,0.7954084
What is the FAN mode?,This mode uses only the fan without any heating or cooling,The FAN mode is the mode that is active when the unit is in the OFF position. The FAN mode is the mode that is active when the unit is in the ON position. The FAN mode is the mode that is active when the,0.675352,0.8057893,The FAN mode is a fan speed mode. The fan speed is selected by the user. The fan speed is selected by the user. The fan speed is selected by the user. The fan speed is selected by the user. The fan speed is,0.726968,0.7389617,FAN mode is the fan speed that is selected by the touch pad.,0.66932636,0.813233,The FAN mode is used to circulate air in the room without cooling or heating.,0.8074472,0.62056905
What does the Constant Fan button do?,"While in cooling mode, press this button to turn the constant fan function on or off. This will continuously run the fan","Press the ""Constant Fan"" button to provide constant or cycle fan speed. Pressing the ""High"" button will bring the unit to the set point. Pressing the ""Low"" button will bring the unit to the set point. Pressing",0.6392975,0.84935564,"The Constant Fan button will provide constant or cycle fan operation in cooling or heating modes. The fan speed selection is made by pressing either ""High"" or ""Low"" or ""Auto"" fan speed button.",0.7051206,0.7679577,"The Constant Fan button will provide constant or cycle fan operation in cooling or heating modes. The fan speed selection is made by pressing either ""High"" or ""Low"" or ""Auto"" button.",0.7048882,0.76826024,"Pressing the ""Constant Fan"" button will provide constant or cycle fan operation in cooling or heating modes. The fan speed selection is made by pressing either ""High"" or ""Low"" or ""Auto"" fan speed button.
",0.7492004,0.70823675
How do I fix an AS error code?,"You should check the connection between the temperature sensor and the PCB. If that is fine, then measure the resistance of the sensor",The AS error code is a diagnostic code that indicates that the unit is not operating properly. The error code is displayed on the display. The error code is displayed in the following order: 1. Error code: ES - Evaporator temperature sensor error,0.4248372,1.0725327,"If the AS error code is displayed, the unit is not operating properly. The AS error code is displayed when the AS sensor is not functioning properly. The AS error code is displayed when the AS sensor is not functioning properly. The AS error code is",0.36129832,1.1302229,"If the AS error code is displayed, unplug the unit and plug it back in. If error repeats, call for service.",0.390103,1.1044428,Check the following: 1. Check the power cord and power outlet. 2. Check the air filter. 3. Check the air conditioner's operation. 4. Check the room temperature sensor. 5. Check the exhaust temperature sensor. 6. Check,0.5167122,0.98314595
How do I fix an E5 error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","To fix an E5 error code, follow these steps: 1. Press the FAN + WARM buttons (DEGREES F) (DEGREES F) together to move to the next code on the digital dis- 2.",0.37511796,1.1179287,"If the E5 error code is displayed, the unit is not operating properly. The E5 error code is displayed when the unit is not receiving power from the power source. The E5 error code is displayed when the unit is not receiving power from",0.28721967,1.1939684,"The E5 error code indicates that the outdoor coil is broken or loose at the board connection. The outdoor coil is located on the outside of the unit. To check the outdoor coil, turn off the unit and remove the cover. The outdoor coil is",0.39306912,1.1017542,"The outdoor coil sensor is located on the outdoor coil. The sensor is a thermistor that measures the temperature of the outdoor coil. If the sensor is broken or loose, the unit will display an E5 error code.",0.5207964,0.97898304
How do I fix a CS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","The CS error code is displayed on the LCD display. To fix the error, press the ""F"" button. The LCD display will display the error code. Press the ""F"" button again to continue. NOTE: The error code will not be",0.2655907,1.2119485,"If the error code is displayed, the unit is not functioning properly. The error code is displayed when the unit is not operating properly. The error code is displayed when the unit is not operating properly. The error code is displayed when the unit is not",0.28218544,1.1981776,"If the unit is in cooling mode, the compressor will cycle off after 5 minutes. If the unit is in heating mode, the compressor will cycle off after 5 minutes.",0.1406495,1.3109924,"Check the evaporator temperature sensor. If the sensor is dirty, clean it. If the sensor is not dirty, replace it.",0.53056294,0.96895546
How do I fix an OS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor","To fix an OS error code, follow these steps: 1. Press the Fan Speed FAN EPERD key twice. 2. Press the Fan Speed FAN SPEED key once. 3. Press the Fan Speed FAN SPEED key once",0.35034442,1.1398734,"If the error code is not listed above, please contact your local dealer.",0.36404297,1.1277919,"If the error code is not listed in the ""Diagnostic Codes"" chart, please contact your local dealer or Direct Supply for assistance.",0.42253736,1.0746748,"If you have an OS error code, please contact Direct Supply at 1-800-634-7328.",0.3232163,1.1634294
How do I fix a HS error code?,"You should check the connection between the temperature sensor and the PCB  If that is fine, then measure the resistance of the sensor",The HS error code is a code that indicates that the unit is defective. The error code is displayed on the display when the unit is in the Diagnostic Status Report mode. The error code is displayed in the upper left hand corner of the display.,0.24280575,1.2306051,"If the error code is listed in the Diagnostic Codes chart, the error code is a result of a defective indoor room filter. If the error code is listed in the Diagnostic Codes chart, the error code is a result of a defective indoor room",0.25945732,1.2169986,"If the error code is a ""N"" (no action required), the error code is a ""N"" (no action required). If the error code is a ""Y"" (yes, action required), the error code is a ""Y""",0.16420336,1.2929014,"The HS error code indicates that the PTAC is not receiving a signal from the wireless remote thermostat. The wireless remote thermostat may be out of range, or the batteries may be dead.",0.3911054,1.1035352
How do I fix an E4 error code?,Check the signal wire between the display board and the main board,"To fix an E4 error code, follow these steps: 1. Press the FAN + WARM buttons (DEGREES F) (DEGREES F) together to move to the next code on the digital display. 2.",0.39626306,1.0988511,"If the E4 error code is displayed, the unit is not operating properly. The E4 error code is displayed when the unit is not operating properly. The E4 error code is displayed when the unit is not operating properly. The E4 error",0.30127913,1.1821342,"The E4 error code indicates that the indoor coil is not properly located. The E4 error code can be caused by a number of things, including:",0.272042,1.2066134,The IDC sensor and ODC sensor must be secured to the coils.,0.19739638,1.2669675
How do I fix a LE error code?,Check if the wiring between the controller and dip switch board is correct,"If the LE error code is displayed, the unit is in the LE error mode. To change the LE error code, press the LE error code button. The LE error code will appear in the display. Press the LE error code button again to return",0.19080833,1.2721571,"If the error code is displayed, the unit is not operating properly. If the error code is displayed, the unit is not operating properly. If the error code is displayed, the unit is not operating properly. If the error code is displayed, the",0.27079934,1.2076432,"If the unit is in heating mode, the temperature setting can not be higher than 84°F/29°C.",0.031652585,1.391652,"If the LE error code appears, unplug the unit and plug it back in. If the error code continues to appear, call for service.",0.24108696,1.232001
How do I access the dip switches?,Make sure the unit is powered off and then remove the front panel. The dip switches are located in the bottom right hand corner of the unit.,"The dip switches are accessible without opening the control box. See Fig. 11. When set at CLOSE, only the air inside the room is circulated and filtered. When set at OPEN, some outdoor air will be drawn or into the room. This",0.59585273,0.89905226,The dip switches are accessible without opening the control box. Unit must be powered OFF to effectively change their status. Factory settings for dip switches will be in the Dip Switches o DOWN position. See Table 5 - Dip Switch e e Functions for functions of,0.75854063,0.6949238,The dip switches are accessible without opening the control box. The unit must be powered OFF to effectively change their status. Factory settings for dip switches will be in the Dip Switches o DOWN position. See Table 5 - Dip Switch e e Functions for functions,0.7637678,0.68736064,"The dip switches are located behind the front panel. To access them, remove the front panel. See Fig. 11.",0.8633812,0.5227214
What does the S1 dip switch do?,If the S1 switch is up then only electric heat is on. If the S1 switch is down then the electric heat and pump heat are on.,The S1 dip switch controls the fan speed and mode. The S1 dip switch is located on the front panel of the unit. The S1 dip switch is used to control the fan speed and mode. The S1 dip switch is located on,0.5520887,0.9464791,The S1 dip switch is used to set the indoor temperature. The S1 dip switch is used to set the indoor temperature.,0.5834635,0.9127285,The S1 dip switch controls the operation of the electric heat only.,0.74479616,0.7144285,"The S1 dip switch is used to select the type of heat pump operation.
 The S2 dip switch is used to select the temperature display between °F and °C.
 The S3 dip switch is used to enable",0.7331909,0.7304918
What does the S2 dip switch do?,If the S2 switch is in the up position the temperature display is in Celsius. If the S2 switch is in the down position the temperature display is in Fahrenheit.,"The S2 dip switch controls are located behind front panel through an opening below the control panel. To access, remove front panel. (See Fig.1) Dip switches are accessible without opening the control box. (See Fig.2) Unit must",0.40578237,1.0901537,The S2 dip switch is used to set the indoor temperature. The S2 dip switch is used to set the indoor temperature. The S2 dip switch is used to set the indoor temperature. The S2 dip switch is used to set the indoor,0.5542735,0.94416815,The S2 dip switch controls the display of the temperature in °C or °F.,0.77329296,0.6733604,The S2 dip switch allows the user to select the temperature display between °F and °C.,0.7624089,0.68933445
What does the S3 dip switch do?,"If the S3 switch is in the UP position, the wall thermostat is enabled. If the S3 switch is in the DOWN position, the control panel is enabled.",The S3 dip switch is used to turn the front desk control feature on and off. The S3 dip switch is located on the front desk control terminal block. The S3 dip switch is used to turn the front desk control feature on and off,0.61687005,0.8753628,The S3 dip switch is used to set the fan speed for the electric heat pump. The S3 dip switch is located on the front panel of the unit. The S3 dip switch is used to set the fan speed for the electric heat pump,0.6623973,0.8217089,The S3 dip switch is used to connect a wired wall thermostat to the PTAC.,0.6682231,0.8145883,The S3 dip switch is used to enable or disable the wall thermostat.,0.8130986,0.61139435
What does the S4 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,"The S4 dip switch controls are located behind front panel through an opening below the control panel. To access, remove front panel. (See Fig.1) Dip switches are accessible without opening the control box. (See Fig.2) Unit must",0.52252454,0.97721595,The S4 dip switch is used to select the fan speed. The S4 dip switch is used to select the fan speed. The S4 dip switch is used to select the fan speed. The S4 dip switch is used to select the fan,0.61694485,0.87527734,The S4 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 61°F - 86°F (16°C - 30°C) or 65°F - 78°F,0.74795264,0.70999646,The S4 dip switch is used to select the temperature range.,0.84144366,0.5631276
What does the S5 dip switch do?,The S4 and S5 switches are used together to select the temperature set point range.,The S5 dip switch is used to select the mode of operation of the unit. The S5 dip switch is located on the front panel. The S5 dip switch is used to select the mode of operation of the unit. The S5 dip,0.62950635,0.86080635,The S5 dip switch is used to select the fan speed. The S5 dip switch is used to select the fan speed. The S5 dip switch is used to select the fan speed. The S5 dip switch is used to select the fan,0.63807213,0.85079724,The S5 dip switch is used to select the setpoint range for the unit. The unit can be set to a range of 63°F - 80°F (17°C - 27°C).,0.7706219,0.6773155,The S5 dip switch is used to select the temperature range.,0.8572985,0.5342314
What does the S6 dip switch do?,"If the S6 switch is in the UP position, the fan is set to continuously run for heating. If the S6 switch is set in the DOWN position, the fan is set to cycle for heating.","The S6 dip switch controls are located behind front panel through an opening below the control panel. To access, remove front panel. (See Fig.1) Dip switches are accessible without opening the control box. (See Fig.2) Unit must",0.41832915,1.0785834,The S6 dip switch is used to select the fan speed. The S6 dip switch is used to select the fan speed. The S6 dip switch is used to select the fan speed. The S6 dip switch is used to select the fan,0.7112974,0.7598719,The S6 dip switch is used to select the fan speed for heating or cooling.,0.7579457,0.69577914,The S6 dip switch is used to enable or disable the low temperature protection function.,0.5902212,0.90529436
What does the S7 dip switch do?,"If the S7 switch is in the UP position, the fan is set to continuously run for cooling. If the S7 switch is set in the DOWN position, the fan is set to cycle for cooling.",The S7 dip switch is used to control the fan speed. The S7 dip switch is located on the front panel of the unit. The S7 dip switch is used to control the fan speed. The S7 dip switch is located on the,0.70037913,0.7741071,The S7 dip switch is used to select the fan speed. The S7 dip switch is used to select the fan speed. The S7 dip switch is used to select the fan speed. The S7 dip switch is used to select the fan,0.7443399,0.71506655,The S7 dip switch controls the fan speed and mode of the unit.,0.789633,0.6486402,The S7 dip switch is used to select the fan speed mode.,0.788436,0.65048313
What does the S8 dip switch do?,"If the S8 switch is in the UP position, low temperature protection mode is enabled. If the S8 switch is set in the DOWN position, low temperature protection mode is disabled.","The S8 dip switch is used to control the fan speed. When the S8 dip switch is in the UP position, the fan speed is set to the maximum speed. When the S8 dip switch is in the DOWN position, the fan speed",0.58779866,0.9079661,"The S8 dip switch is used with some types of wall thermostats. It is used to control the fan speed. When the S8 dip switch is in the UP position, the fan speed is set to the highest setting. When the S",0.6192585,0.87263,The S8 dip switch is used to select the Low Temp Protection function.,0.81917155,0.60137904,"The S8 dip switch is used with some types of wall thermostats. If the unit is installed with a wall thermostat that does not have a ""hold"" feature, the S8 dip switch must be set to the UP position.",0.6162977,0.87601614
What does the S9 dip switch do?,"If the S9 dip switch is in the UP position, it is set to use the wall thermostat. If the S9 dip switch is in the DOWN position, it is set to use the PTAC's thermostat.","The S9 dip switch is used to enable or disable the fan. When the S9 dip switch is in the UP position, the fan will run continuously. When the S9 dip switch is in the DOWN position, the fan will run only when",0.6826191,0.7967195,The S9 dip switch is used with some types of wall thermostats. It is used to control the fan speed and the fan operation. The S9 dip switch is used to control the fan speed and the fan operation. The S9 dip,0.7875556,0.6518353,The S9 dip switch is used with some types of wall thermostats. It is used to delay the fan operation for 3 seconds after the setpoint temperature is reached.,0.74558896,0.7133179,"The S9 dip switch is used with some types of wall thermostats. Try with the switch in the UP position first. If this doesn't work, try again with the switch in the DOWN position.",0.7983332,0.63508546
What dos the S11 dip switch do?,"If the S11 dip switch is in the UP position, there is a load delay of 3 seconds. If the S11 dip switch is in the down position, it is set to normal.",The S11 dip switch is used to turn the front desk control feature on and off. The S11 dip switch is located on the front desk control terminal block. The S11 dip switch is used to turn the front desk control feature on and off,0.5685994,0.9288711,"The S11 dip switch is used to turn the front desk control feature on and off. If the dip switch is in the DOWN position, the front desk control feature is disabled. If the dip switch is in the UP position, the front desk control",0.6461054,0.84130204,The S11 dip switch is used to set the fan speed for the heat pump models.,0.60620415,0.8874635,The S11 dip switch is used to select the type of thermostat connected to the unit.,0.55501163,0.94338584
What should I use to clean the PTAC?,"To clean, use water and a mild detergent","The PTAC is designed to be cleaned with a standard household detergent. The PTAC is not intended for use by persons (including children) with reduced physical, sensory or mental capabilities, or lack of experience and knowledge, unless they have been given",0.53409004,0.96530825,Use a damp cloth to clean the unit. Do not use a vacuum cleaner. Do not use a chemical cleaner. Do not use a detergent. Do not use a bleach. Do not use a detergent with ammonia. Do not use a bleach,0.74626154,0.7123745,Use a soft cloth dampened with a mild detergent solution. Do not use any type of abrasive or solvent.,0.7088175,0.7631287,Use a soft cloth with a mild detergent and water. Do not use abrasive cleaners or scouring pads.,0.7906593,0.64705616
